MS_ID,Location,Collection,Reference,Headnote,MS_Date,Folia,Place_of_production,Produced_for,Notes,MS_Sources,F_%,L_%,E_%,O_%,F_Sides,L_Sides,E_Sides,O_Sides,total_sides_English,total_sides_French,total_sides_Latin,total_sides_Other,percentage_English,percentage_French,percentage_Latin,percentage_Other
1,Aberystwyth,National Library of Wales,5028C,Chronicles d'Engleterre,s.xv,183,,,"s.xv ownership inscription: ""Iste liber constat Johanni Leyh militi de Stokedsell (?) in parochia de Lambeth juxta London in comitatu Surrey"" ; also contains early modern ownership inscriptions",https://archives.library.wales/index.php/chronicles-dengleterre ; http://jonas.irht.cnrs.fr/consulter/manuscrit/detail_manuscrit.php?projet=77829,,,,,,,,,,365.0,,,,100.0,,
10,Basel,Öffentliche Bibliothek der Universität,N I 2 Nr 83,Troie Fragments,s.xii (ex),4,,,From the same MS as #29 according to Dean.,http://www.medievalfrancophone.ac.uk/browse/mss/347/manuscript.html,,,,,,,,,,8.0,,,,100.0,,
100,Cambridge,Jesus College,Q.G.10,Scala Chronica,s.xiv,87,,"""Elizabeth pigott (xvi) is on the margin of f.40a; Thomas pigott est verus posser (sic) huius libri, f. 53a""",end points for Latin tracts are based on James' entries and therefore approximate,"James, M.R. ""A Descriptive Catalogue of the Manuscripts in the Library of Jesus College, Cambridge."" Cambridge: Cambridge UP, 1895.",,,,,,,,,,140.0,34.0,,,80.45977011494253,19.54022988505747,
101,Cambridge,Magdalene College,Pepysian 1803,Apocalypse,s.xiv (med),45,,,,"Carlton, William J. ""Bibliotheca Pepysiana; a descriptive catalogue of the library of Samuel Pepys."" London: Sidgwick & Jackson, 1914.",,,,,,,,,,44.5,44.5,,,50.0,50.0,
105e,Cambridge,Peterhouse,222,"Plinius Iunior, etc.",s.xiii,22,,,end points for Latin tracts are based on James' entries and therefore approximate; bound with 8 other volumes,"James, M.R. ""A Descriptive Catalogue of the Manuscripts in the Library of Peterhouse."" Cambridge: Cambridge UP, 1899.",,,,,,,,,,0.5,43.5,,,1.1363636363636365,98.86363636363636,
106,Cambridge,Peterhouse,259.X,Sermons in French and Latin,s.xiii,22,,,end points for Latin tracts are based on James' entries and therefore approximate; bound with 9 other volumes; pentrials on fol.  11v.,"James, M.R. ""A Descriptive Catalogue of the Manuscripts in the Library of Peterhouse."" Cambridge: Cambridge UP, 1899.",,,,,,,,,,10.666666666666668,32.33333333333333,,,24.8062015503876,75.19379844961239,
107,Cambridge,St. John's College,B.9,"WACE. CHRESTIEN DE TROYES. LIVES OF SAINTS. SOMME LE ROY, ETC",s.xiv (ex),239+ 8,,,,https://www.joh.cam.ac.uk/library/special_collections/manuscripts/medieval_manuscripts/medman/B_9.htm,,,,,,,,,,480.0,,,,100.0,,
108a,Cambridge,St. John's College,D.4,Medica,s.xiii / xiv,104,,,end points for Latin tracts are based on James' entries and therefore approximate; bound with other volumes; Latin receipt written on 104v suggests volumes were bound together early,,,,,,,,,,,34.5,172.5,,,16.666666666666664,83.33333333333334,
110,Cambridge,St. John's College,E.8,Excerpta,s.xiii (in),107+11,,,end points for Latin tracts are based on James' entries and therefore approximate,https://www.joh.cam.ac.uk/library/special_collections/manuscripts/medieval_manuscripts/medman/E_8.htm,,,,,,,,,0.5,2.0,210.5,,0.2347417840375587,0.9389671361502347,98.82629107981221,
111b,Cambridge,St. John's College,E.9,"VERITAS THEOLOGICA. DISTINCTIONES GORHAM, ETC.",s.xiii (ex),402,,,end points for Latin tracts are based on James' entries and therefore approximate; bound with 2 quires of s.xiv / s.v,https://www.joh.cam.ac.uk/library/special_collections/manuscripts/medieval_manuscripts/medman/E_9.htm,,,,,,,,,,1.0,796.0,,,0.12547051442910914,99.87452948557089,
112a,Cambridge,St. John's College,E.10,"Speculum iuniorum, etc.",s.xiii (in),156,,,"end points for Latin tracts are based on James' entries and therefore approximate; bound with 1 other volume; ""Perhaps from Robertsbridge in Sussex.  On the flyleaf, among other notes, is (xv) a form letter, asking for prayers from members of other monastic houses.  It is from: W. miseracione diuina abbas. Mon. b. Marie de K, but ends:   Valeant iste nostre litere post earum confeccionem per triennium et uos cum domino in eternum (i.e. ualeatis).  Dat. apud pontem Roberti in domo nostra capitulari sub sigillo nostro communi. x. d. m. a. a.""",https://www.joh.cam.ac.uk/library/special_collections/manuscripts/medieval_manuscripts/medman/E_10.htm,,,,,,,,,,4.0,272.0,,,1.4492753623188406,98.55072463768117,
113e,Cambridge,St. John's College,E.17,"Sententiae abbreviatae, etc.",s.xiii,14,,,end points for Latin tracts are based on James' entries and therefore approximate;  bound with 6 other volumes,https://www.joh.cam.ac.uk/library/special_collections/manuscripts/medieval_manuscripts/medman/E_17.htm,,,,,,,,,0.5,0.5,26.0,,1.8518518518518516,1.8518518518518516,96.29629629629629,
114,Cambridge,St. John's College,F.1,GUL. PERALDUS,s.xiii,125+6,,,"end points for Latin tracts are based on James' entries and therefore approximate; on flyleaf: ""Quaternus monachorum S. Edmundi in quo continetur Summa de uiciis optima""",https://www.joh.cam.ac.uk/library/special_collections/manuscripts/medieval_manuscripts/medman/F_1.htm,,,,,,,,,,1.0,254.0,,,0.39215686274509803,99.6078431372549,
115,Cambridge,St. John's College,F.30,Lumière as lais et Manuel de péchés,s.xiii,iv+157+iv,,,,https://www.joh.cam.ac.uk/library/special_collections/manuscripts/medieval_manuscripts/medman/F_30.htm,,,,,,,,,,314.0,,,,100.0,,
117,Cambridge,St. John's College,G.5,"Roman de la rose, etc",s.xiv (2),163+4,,,"end points for Latin tracts are based on James' entries and therefore approximate; ""On flyleaves at end verses on the Temperaments in another hand : Sanguineus.  Largus amans hylaris, etc.""",https://www.joh.cam.ac.uk/library/special_collections/manuscripts/medieval_manuscripts/medman/G_5.htm,,,,,,,,,,326.0,,,,100.0,,
118c,Cambridge,St. John's College,I.11,"Gervase of Tilbury. Martinus Polonus, etc.",s.xiii,30,,,"end points for Latin tracts are based on James' entries and therefore approximate; bound with 2 other volumes; On 169b, in a hand of cent. xiv late, is : Nomina Regum Christianorum in Anglia. Saxonum. Yne.  xxxvii annos.""",https://www.joh.cam.ac.uk/library/special_collections/manuscripts/medieval_manuscripts/medman/I_11.htm,,,,,,,,,,36.0,24.0,,,60.0,40.0,
119,Cambridge,St. John's College,K.21,"Cantica, Hymns, etc.",s.xiv (in),96,Kent,"St Augustine's, Canterbury","end points for Latin tracts are based on James' entries and therefore approximate;  on f.1 ""The Office of the Holy Face in a hand of cent. xv ""; ""The Kalendar is an interesting one and very evidently belongs to St Augustine's Canterbury.""",https://www.joh.cam.ac.uk/library/special_collections/manuscripts/medieval_manuscripts/medman/K_21.htm,,,,,,,,,,43.0,123.0,,,25.903614457831324,74.09638554216868,
